DateTime,CLOSE
2012-11-16,2437.33
2012-11-19,2439.704
2012-11-20,2430.181
2012-11-21,2460.378
2012-11-22,2436.536
2012-11-23,2449.262
2012-11-26,2425.893
2012-11-27,2372.311
2012-11-28,2336.528
2012-11-29,2318.065
2012-11-30,2346.825
2012-12-03,2303.787
2012-12-04,2330.013
2012-12-05,2414.62
2012-12-06,2411.408
2012-12-07,2461.651
2012-12-10,2494.751
2012-12-11,2479.558
2012-12-12,2485.389
2012-12-13,2455.781
2012-12-14,2569.54
2012-12-17,2583.261
2012-12-18,2581.446
2012-12-19,2587.893
2012-12-20,2600.039
2012-12-21,2591.209
2012-12-24,2604.324
2012-12-25,2672.229
2012-12-26,2693.837
2012-12-27,2675.285
2012-12-28,2710.566
2012-12-31,2749.849
2013-01-04,2745.756
2013-01-07,2766.23
2013-01-08,2773.172
2013-01-09,2775.959
2013-01-10,2786.285
2013-01-11,2729.87
2013-01-14,2829.592
2013-01-15,2862.974
2013-01-16,2849.664
2013-01-17,2820.924
2013-01-18,2867.296
2013-01-21,2886.805
2013-01-22,2857.385
2013-01-23,2866.981
2013-01-24,2824.576
2013-01-25,2815.89
2013-01-28,2896.96
2013-01-29,2923.651
2013-01-30,2935.023
2013-01-31,2926.959
2013-02-01,2971.19
2013-02-04,2965.343
2013-02-05,2992.205
2013-02-06,3002.051
2013-02-07,2996.611
2013-02-08,3021.59
2013-02-18,3008.435
2013-02-19,2954.183
2013-02-20,2989.724
2013-02-21,2906.314
2013-02-22,2894.49
2013-02-25,2913.187
2013-02-26,2872.45
2013-02-27,2890.581
2013-02-28,2965.166
2013-03-01,2978.115
2013-03-04,2857.575
2013-03-05,2934.543
2013-03-06,2972.799
2013-03-07,2938.906
2013-03-08,2918.76
2013-03-11,2909.617
2013-03-12,2854.855
2013-03-13,2826.395
2013-03-14,2835.131
2013-03-15,2840.833
2013-03-18,2802.649
2013-03-19,2819.673
2013-03-20,2904.717
2013-03-21,2921.356
2013-03-22,2927.392
2013-03-25,2923.437
2013-03-26,2890.979
2013-03-27,2899.804
2013-03-28,2810.363
2013-03-29,2807.682
2013-04-01,2814.734
2013-04-02,2793.552
2013-04-03,2780.518
2013-04-08,2778.865
2013-04-09,2800.914
2013-04-10,2794.062
2013-04-11,2785.076
2013-04-12,2765.445
2013-04-15,2733.445
2013-04-16,2759.704
2013-04-17,2770.138
2013-04-18,2777.628
2013-04-19,2845.669
2013-04-22,2851.752
2013-04-23,2766.063
2013-04-24,2820.861
2013-04-25,2783.017
2013-04-26,2747.908
2013-05-02,2756.808
2013-05-03,2807.879
2013-05-06,2850.845
2013-05-07,2856.476
2013-05-08,2876.902
2013-05-09,2869.45
2013-05-10,2885.84
2013-05-13,2885.667
2013-05-14,2847.503
2013-05-15,2873.598
2013-05-16,2913.578
2013-05-17,2956.846
2013-05-20,2987.065
2013-05-21,3007.961
2013-05-22,2996.776
2013-05-23,2965.256
2013-05-24,2994.764
2013-05-27,3009.879
2013-05-28,3035.986
2013-05-29,3044.275
2013-05-30,3042.46
2013-05-31,3017.226
2013-06-03,3004.292
2013-06-04,2953.44
2013-06-05,2956.436
2013-06-06,2913.961
2013-06-07,2865.332
2013-06-13,2777.612
2013-06-14,2813.827
2013-06-17,2810.437
2013-06-18,2823.215
2013-06-19,2805.031
2013-06-20,2713.976
2013-06-21,2704.654
2013-06-24,2537.954
2013-06-25,2530.912
2013-06-26,2558.25
2013-06-27,2534.052
2013-06-28,2557.201
2013-07-01,2590.968
2013-07-02,2617.395
2013-07-03,2607.739
